price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15
221900.0,3,1.0,1180,5650,1.0,0.0,0.0,3,7,1180,0.0,1955,1955.0,1340,5650
538000.0,3,2.25,2570,7242,2.0,0.0,0.0,3,7,2170,400.0,1951,1991.0,1690,7639
180000.0,2,1.0,770,10000,1.0,0.0,0.0,3,6,770,0.0,1933,1933.0,2720,8062
604000.0,4,3.0,1960,5000,1.0,0.0,0.0,5,7,1050,910.0,1965,1965.0,1360,5000
510000.0,3,2.0,1680,8080,1.0,0.0,0.0,3,8,1680,0.0,1987,1987.0,1800,7503
257500.0,3,2.25,1715,6819,2.0,0.0,0.0,3,7,1715,0.0,1995,1995.0,2238,6819
291850.0,3,1.5,1060,9711,1.0,0.0,0.0,3,7,1060,0.0,1963,1963.0,1650,9711
229500.0,3,1.0,1780,7470,1.0,0.0,0.0,3,7,1050,730.0,1960,1960.0,1780,8113
323000.0,3,2.5,1890,6560,2.0,0.0,0.0,3,7,1890,0.0,2003,2003.0,2390,7570
662500.0,3,2.5,3560,9796,1.0,0.0,0.0,3,8,1860,1700.0,1965,1965.0,2210,8925
468000.0,2,1.0,1160,6000,1.0,0.0,0.0,4,7,860,300.0,1942,1942.0,1330,6000
310000.0,3,1.0,1430,19901,1.5,0.0,0.0,4,7,1430,0.0,1927,1927.0,1780,12697
400000.0,3,1.75,1370,9680,1.0,0.0,0.0,4,7,1370,0.0,1977,1977.0,1370,10208
530000.0,5,2.0,1810,4850,1.5,0.0,0.0,3,7,1810,0.0,1900,1900.0,1360,4850
650000.0,4,3.0,2950,5000,2.0,0.0,3.0,3,9,1980,970.0,1979,1979.0,2140,4000
395000.0,3,2.0,1890,14040,2.0,0.0,0.0,3,7,1890,0.0,1994,1994.0,1890,14018
485000.0,4,1.0,1600,4300,1.5,0.0,0.0,4,7,1600,0.0,1916,1916.0,1610,4300
189000.0,2,1.0,1200,9850,1.0,0.0,0.0,4,7,1200,0.0,1921,1921.0,1060,5095
230000.0,3,1.0,1250,9774,1.0,0.0,0.0,4,7,1250,0.0,1969,1969.0,1280,8850
385000.0,4,1.75,1620,4980,1.0,0.0,0.0,4,7,860,760.0,1947,1947.0,1400,4980
285000.0,5,2.5,2270,6300,2.0,0.0,0.0,3,8,2270,0.0,1995,1995.0,2240,7005
252700.0,2,1.5,1070,9643,1.0,0.0,0.0,3,7,1070,0.0,1985,1985.0,1220,8386
329000.0,3,2.25,2450,6500,2.0,0.0,0.0,4,8,2450,0.0,1985,1985.0,2200,6865
233000.0,3,2.0,1710,4697,1.5,0.0,0.0,5,6,1710,0.0,1941,1941.0,1030,4705
