price,bedrooms,bathrooms,zipcode,lat,long
397500.0,3,1.75,98052,47.6991,-122.13
222000.0,3,1.5,98042,47.3683,-122.147
796000.0,4,3.25,98115,47.6769,-122.32799999999999
325000.0,3,2.5,98045,47.4639,-121.744
818500.0,5,3.5,98006,47.5469,-122.194
783200.0,4,2.0,98119,47.637,-122.367
359950.0,3,1.75,98126,47.5137,-122.37
925000.0,4,2.5,98115,47.6833,-122.271
380000.0,2,2.5,98031,47.4137,-122.212
898000.0,5,2.25,98007,47.6599,-122.146
295000.0,2,1.75,98055,47.4727,-122.2
620000.0,4,2.5,98038,47.4306,-122.04899999999999
199500.0,4,2.0,98056,47.5097,-122.181
405000.0,3,1.75,98118,47.5368,-122.26700000000001
280000.0,2,1.0,98126,47.5196,-122.376
445950.0,3,1.75,98034,47.7321,-122.195
1140000.0,4,1.75,98199,47.6353,-122.402
385000.0,6,4.0,98108,47.5525,-122.3
548000.0,4,3.25,98019,47.732,-121.98200000000001
569950.0,5,4.25,98148,47.4349,-122.32799999999999
425000.0,3,1.5,98155,47.7562,-122.277
270000.0,3,1.0,98058,47.4579,-122.09
648000.0,4,2.5,98029,47.5672,-122.01100000000001
456000.0,3,2.5,98045,47.4832,-121.774
600600.0,4,3.5,98148,47.4349,-122.32799999999999
520000.0,2,1.75,98122,47.618,-122.311
180000.0,4,1.0,98055,47.4336,-122.197
290000.0,3,2.0,98038,47.3781,-122.044
738515.0,5,2.75,98011,47.7754,-122.17299999999999
450000.0,7,4.0,98118,47.5259,-122.279
1310000.0,5,2.5,98199,47.6398,-122.39
463000.0,3,2.5,98019,47.7321,-121.964
347000.0,3,1.0,98052,47.6889,-122.117
535000.0,6,1.75,98115,47.6721,-122.323
990000.0,3,1.75,98040,47.5314,-122.22200000000001
950000.0,4,3.0,98034,47.7154,-122.161
718000.0,3,2.5,98033,47.6946,-122.211
272000.0,5,1.5,98056,47.5014,-122.17200000000001
214000.0,3,1.0,98010,47.3127,-122.00200000000001
731781.0,3,3.0,98052,47.69300000000001,-122.133
1500000.0,4,4.25,98074,47.6008,-122.01
234000.0,3,1.0,98042,47.3627,-122.10799999999999
544999.0,4,2.5,98065,47.5153,-121.87100000000001
655000.0,4,3.5,98010,47.3554,-121.986
375000.0,4,2.75,98042,47.3782,-122.161
472500.0,3,2.5,98052,47.6863,-122.09299999999999
895000.0,2,1.75,98199,47.6336,-122.397
